source,relation,destination
running (jogging) - 5/mph,SPENDS,0-110
running (jogging) - 5/mph,SPENDS,5.1-110
stair climber (stepper),SPENDS,5.1-8.0
stair climber (stepper),SPENDS,0-1200
stair climber (stepper),SPENDS,5.1-13.5
stair climber (stepper),SPENDS,0-110
stair climber (stepper),SPENDS,5.1-110
soccer,SPENDS,5.1-8.0
soccer,SPENDS,0-1200
soccer,SPENDS,5.1-13.5
soccer,SPENDS,0-110
soccer,SPENDS,5.1-110
spinning,SPENDS,5.1-8.0
spinning,SPENDS,0-1200
spinning,SPENDS,5.1-13.5
spinning,SPENDS,0-110
spinning,SPENDS,5.1-110
squash or handball,SPENDS,5.1-8.0
squash or handball,SPENDS,0-1200
squash or handball,SPENDS,5.1-13.5
squash or handball,SPENDS,0-110
squash or handball,SPENDS,5.1-110
squats (legs),SPENDS,5.1-8.0
squats (legs),SPENDS,0-1200
squats (legs),SPENDS,5.1-13.5
squats (legs),SPENDS,0-110
squats (legs),SPENDS,5.1-110
tennis,SPENDS,5.1-8.0
tennis,SPENDS,0-1200
tennis,SPENDS,5.1-13.5
tennis,SPENDS,0-110
tennis,SPENDS,5.1-110
treadmill,SPENDS,5.1-8.0
treadmill,SPENDS,0-1200
treadmill,SPENDS,5.1-13.5
treadmill,SPENDS,0-110
treadmill,SPENDS,5.1-110
vibrating platform machine,SPENDS,5.1-8.0
vibrating platform machine,SPENDS,0-1200
vibrating platform machine,SPENDS,5.1-13.5
vibrating platform machine,SPENDS,0-110
vibrating platform machine,SPENDS,5.1-110
weight training (bodybuilding),SPENDS,5.1-8.0
weight training (bodybuilding),SPENDS,0-1200
weight training (bodybuilding),SPENDS,5.1-13.5
weight training (bodybuilding),SPENDS,0-110
weight training (bodybuilding),SPENDS,5.1-110
skiing (downhill),SPENDS,5.1-8.0
skiing (downhill),SPENDS,0-1200
skiing (downhill),SPENDS,5.1-13.5
skiing (downhill),SPENDS,0-110
skiing (downhill),SPENDS,5.1-110
rock climbing,SPENDS,5.1-8.0
rock climbing,SPENDS,0-1200
rock climbing,SPENDS,5.1-13.5
rock climbing,SPENDS,0-110
rock climbing,SPENDS,5.1-110
mountain biking,SPENDS,5.1-8.0
mountain biking,SPENDS,0-1200
mountain biking,SPENDS,5.1-13.5
mountain biking,SPENDS,0-110
mountain biking,SPENDS,5.1-110
race,SPENDS,5.1-8.0
race,SPENDS,0-1200
race,SPENDS,5.1-13.5
race,SPENDS,0-110
race,SPENDS,5.1-110
air climber,SPENDS,5.1-8.0
air climber,SPENDS,0-1200
air climber,SPENDS,5.1-13.5
air climber,SPENDS,0-110
air climber,SPENDS,5.1-110
arc trainer,SPENDS,5.1-8.0
arc trainer,SPENDS,0-1200
arc trainer,SPENDS,5.1-13.5
arc trainer,SPENDS,0-110
arc trainer,SPENDS,5.1-110
bicycling (moderate) - 13/mph,SPENDS,5.1-8.0
bicycling (moderate) - 13/mph,SPENDS,0-1200
bicycling (moderate) - 13/mph,SPENDS,5.1-13.5
bicycling (moderate) - 13/mph,SPENDS,0-110
bicycling (moderate) - 13/mph,SPENDS,5.1-110
bike machine (cycling),SPENDS,5.1-8.0
bike machine (cycling),SPENDS,0-1200
bike machine (cycling),SPENDS,5.1-13.5
bike machine (cycling),SPENDS,0-110
bike machine (cycling),SPENDS,5.1-110
"calisthenics (heavy, e.g. pushups)",SPENDS,5.1-8.0
"calisthenics (heavy, e.g. pushups)",SPENDS,0-1200
"calisthenics (heavy, e.g. pushups)",SPENDS,5.1-13.5
"calisthenics (heavy, e.g. pushups)",SPENDS,0-110
"calisthenics (heavy, e.g. pushups)",SPENDS,5.1-110
elliptical,SPENDS,5.1-8.0
elliptical,SPENDS,0-1200
elliptical,SPENDS,5.1-13.5
elliptical,SPENDS,0-110
elliptical,SPENDS,5.1-110
endurance sport,SPENDS,5.1-8.0
endurance sport,SPENDS,0-1200
endurance sport,SPENDS,5.1-13.5
endurance sport,SPENDS,0-110
endurance sport,SPENDS,5.1-110
exercise machine,SPENDS,5.1-8.0
exercise machine,SPENDS,0-1200
exercise machine,SPENDS,5.1-13.5
exercise machine,SPENDS,0-110
exercise machine,SPENDS,5.1-110
exercise machine (moderate),SPENDS,5.1-8.0
exercise machine (moderate),SPENDS,0-1200
exercise machine (moderate),SPENDS,5.1-13.5
exercise machine (moderate),SPENDS,0-110
