source,relation,destination
judo,BURNS,501-600
judo,BURNS,101-1200
judo,BURNS,501-700
judo,BURNS,501-550
judo,BURNS,101-900
snow boarding,BURNS,501-900
snow boarding,BURNS,501-600
snow boarding,BURNS,101-1200
snow boarding,BURNS,501-700
snow boarding,BURNS,501-550
snow boarding,BURNS,101-900
kangoo,BURNS,501-900
kangoo,BURNS,501-600
kangoo,BURNS,101-1200
kangoo,BURNS,501-700
kangoo,BURNS,501-550
kangoo,BURNS,101-900
tae bo,BURNS,501-900
tae bo,BURNS,501-600
tae bo,BURNS,101-1200
tae bo,BURNS,501-700
tae bo,BURNS,501-550
tae bo,BURNS,101-900
karate,BURNS,501-900
karate,BURNS,501-600
karate,BURNS,101-1200
karate,BURNS,501-700
karate,BURNS,501-550
karate,BURNS,101-900
cx,BURNS,501-900
cx,BURNS,501-600
cx,BURNS,101-1200
cx,BURNS,501-700
cx,BURNS,501-550
cx,BURNS,101-900
crossfit,BURNS,501-900
crossfit,BURNS,501-600
crossfit,BURNS,101-1200
crossfit,BURNS,501-700
crossfit,BURNS,501-550
crossfit,BURNS,101-900
aerobics,BURNS,501-900
aerobics,BURNS,501-600
aerobics,BURNS,101-1200
aerobics,BURNS,501-700
aerobics,BURNS,501-550
aerobics,BURNS,101-900
pedalling,BURNS,501-900
pedalling,BURNS,501-600
pedalling,BURNS,101-1200
pedalling,BURNS,501-700
pedalling,BURNS,501-550
pedalling,BURNS,101-900
water aerobics,BURNS,501-900
water aerobics,BURNS,501-600
water aerobics,BURNS,101-1200
water aerobics,BURNS,501-700
water aerobics,BURNS,501-550
water aerobics,BURNS,101-900
ballet,BURNS,501-900
ballet,BURNS,501-600
ballet,BURNS,101-1200
ballet,BURNS,501-700
ballet,BURNS,501-550
ballet,BURNS,101-900
vtt,BURNS,501-900
vtt,BURNS,501-600
vtt,BURNS,101-1200
vtt,BURNS,501-700
vtt,BURNS,501-550
vtt,BURNS,101-900
trx,BURNS,501-900
trx,BURNS,501-600
trx,BURNS,101-1200
trx,BURNS,501-700
trx,BURNS,501-550
trx,BURNS,101-900
curves,BURNS,501-900
curves,BURNS,501-600
curves,BURNS,101-1200
curves,BURNS,501-700
curves,BURNS,501-550
