muscleNstrength,exRx,result,confidence
hammer strength machine incline bench press,Cable Incline Bench Press,True,0.6776385812723021
hammer strength machine incline bench press,Lever Incline Bench Press,True,0.6656738341331364
exercise ball dumbbell fly,Dumbbell Decline Fly,True,0.6304754273504274
exercise ball dumbbell fly,Dumbbell Fly,True,0.6455662393162394
wide grip incline bench press,Dumbbell Incline Bench Press,True,0.7778663793103447
wide grip incline bench press,Cable Incline Bench Press,True,0.767175697865353
wide grip incline bench press,Lever Parallel Grip Incline Bench Press,True,0.7466880341880342
decline bench press,Lever Decline Bench Press,True,0.8466666666666667
decline bench press,Dumbbell Incline Bench Press,True,0.7528521825396826
decline bench press,Cable Bar Incline Bench Press,True,0.7184510125889436
decline bench press,Smith Incline Bench Press,True,0.758888888888889
decline bench press,Cable Incline Bench Press,True,0.781984126984127
decline bench press,Lever Incline Bench Press,True,0.768888888888889
decline bench press,Barbell Incline Bench Press,True,0.7503968253968254
decline bench press,Barbell Decline Bench Press,True,0.8244708994708995
decline bench press,Cable Bench Press,True,0.7881370091896407
decline bench press,Dumbbell Decline Bench Press,True,0.8074156746031746
decline bench press,Smith Decline Bench Press,True,0.8466666666666667
decline bench press,Barbell Bench Press,True,0.7559314954051797
