workout_name,relation,exercise
6-day-powerbuilding-split-meal-plan_0,INCLUDES,seated dumbbell lateral raise
8-week-hypertrophy-workout_0,INCLUDES,seated dumbbell lateral raise
yoked-thor-training-program-diet-plan_2,INCLUDES,seated dumbbell lateral raise
shaun--s-3-day-muscle-building-split.html_1,INCLUDES,seated dumbbell lateral raise
6-day-push-pull-legs-planet-fitness-workout_3,INCLUDES,seated dumbbell lateral raise
super-shoulder-striations-workout_0,INCLUDES,seated dumbbell lateral raise
8-week-workout-for-shredded-shoulders_0,INCLUDES,seated dumbbell lateral raise
8-week-workout-for-shredded-shoulders_1,INCLUDES,seated dumbbell lateral raise
4-week-shoulder-shocker-workout_0,INCLUDES,seated dumbbell lateral raise
himl-4-maximum-muscle-building-workout-system.html_14,INCLUDES,seated dumbbell lateral raise
30-day-military-athlete-workout-program_1,INCLUDES,seated dumbbell lateral raise
perfect-workout-for-shoulders_0,INCLUDES,seated dumbbell lateral raise
4-week-v-taper-building-workout_1,INCLUDES,seated dumbbell lateral raise
12-week-total-transformation-workout_3,INCLUDES,seated dumbbell lateral raise
total-package-workout_1,INCLUDES,seated dumbbell lateral raise
return-to-ripped_0,INCLUDES,seated dumbbell lateral raise
8-week-spring-shred-program_2,INCLUDES,seated dumbbell lateral raise
6-day-powerbuilding-split-meal-plan_1,INCLUDES,conventional deadlift
8-week-hypertrophy-workout_3,INCLUDES,conventional deadlift
conjugate-system-beginner-powerlifting-workout-phase-3_2,INCLUDES,conventional deadlift
conjugate-system-beginner-powerlifting-workout-phase-3_4,INCLUDES,conventional deadlift
conjugate-system-beginner-powerlifting-workout-phase-3_6,INCLUDES,conventional deadlift
conjugate-system-beginner-powerlifting-workout-phase-3_10,INCLUDES,conventional deadlift
arnold-schwarzenegger-volume-workout-routines_0,INCLUDES,conventional deadlift
6-week-dwayne-johnson-hercules_0,INCLUDES,conventional deadlift
6-week-dwayne-johnson-hercules_4,INCLUDES,conventional deadlift
steve-kuclo-mass-building-workout_1,INCLUDES,conventional deadlift
